X,Y
0,0
1,0
2,0
3,255
4,255
5,255
6,255
7,255
8,255
9,255
10,255
11,255
12,255
13,255
14,255
15,255
16,255
17,255
18,255
19,255
20,231
21,231
22,231
23,231
24,231
25,231
26,231
27,231
28,231
29,231
30,231
31,231
32,231
33,231
34,231
35,231
36,231
37,206
38,206
39,206
40,206
41,206
42,206
43,206
44,206
45,206
46,206
47,206
48,206
49,206
50,206
51,206
52,206
53,206
54,206
55,189
56,189
57,189
58,189
59,189
60,189
61,189
62,189
63,189
64,189
65,189
66,189
67,189
68,189
69,189
70,189
71,189
72,165
73,165
74,165
75,165
76,165
77,165
78,165
79,165
80,165
81,165
82,165
83,165
84,165
85,165
86,165
87,165
88,165
89,148
90,148
91,148
92,148
93,148
94,148
95,148
96,148
97,148
98,148
99,148
100,148
101,148
102,148
103,148
104,148
105,148
106,123
107,123
108,123
109,123
110,123
111,123
112,123
113,123
114,123
115,123
116,123
117,123
118,123
119,123
120,123
121,123
122,123
123,107
124,107
125,107
126,107
127,107
128,107
129,107
130,107
131,107
132,107
133,107
134,107
135,107
136,107
137,107
138,107
139,107
140,82
141,82
142,82
143,82
144,82
145,82
146,82
147,82
148,82
149,82
150,82
151,82
152,82
153,82
154,82
155,82
156,82
157,74
158,74
159,74
160,74
161,74
162,74
163,74
164,74
165,74
166,74
167,74
168,74
169,74
170,74
171,74
172,74
173,74
174,74
175,57
176,57
177,57
178,57
179,57
180,57
181,57
182,57
183,57
184,57
185,57
186,57
187,57
188,57
189,57
190,57
191,57
192,49
193,49
194,49
195,49
196,49
197,49
198,49
199,49
200,49
201,49
202,49
203,49
204,49
205,49
206,49
207,49
208,49
209,33
210,33
211,33
212,33
213,33
214,33
215,33
216,33
217,33
218,33
219,33
220,33
221,33
222,33
223,33
224,33
225,33
226,24
227,24
228,24
229,24
230,24
231,24
232,24
233,24
234,24
235,24
236,24
237,24
238,24
239,24
240,24
241,24
242,24
243,16
244,16
245,16
246,16
247,16
248,16
249,16
